alphabetical_order,working,filename,full_path,duration_seconds,duration_hours,frame_count,fps,width,height,size,size_bytes,aspect_ratio_fraction,aspect_ratio,accumulated_duration_seconds,accumulated_duration_hours,accumulated_frame_count,accumulated_size,accumulated_size_bytes
0,True,1_sec_1920:1080.mkv,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/videos/1_sec_1920:1080.mkv,1.0677333333333334,00:00:01,32,29,1920,1080,18876,18.4 KB,16:9,1.7777777777777777,1.0677333333333334,00:00:01,32,18876,18.4 KB
1,True,1_sec_VIDEO_1.mkv,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/videos/1_sec_VIDEO_1.mkv,1.0677333333333334,00:00:01,32,29,320,240,9829,9.6 KB,4:3,1.3333333333333333,2.135466666666667,00:00:02,64,28705,28.0 KB
2,True,5_min_video.mkv,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/videos/5_min_video.mkv,299.49920000000003,00:04:59,8976,29,320,240,12764734,12.2 MB,4:3,1.3333333333333333,301.6346666666667,00:05:01,9040,12793439,12.2 MB
3,True,big_video.mp4,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/videos/big_video.mp4,38890.01783333333,10:48:10,1165535,29,1920,1080,6849785825,6.4 GB,16:9,1.7777777777777777,39191.6525,10:53:11,1174575,6862579264,6.4 GB
4,False,dummy_video_file.mkv,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/videos/dummy_video_file.mkv,0,00:00:00,0,0,0,0,2,2.0 bytes,0,0,39191.6525,10:53:11,1174575,6862579266,6.4 GB
