alphabetical_order,working,filename,full_path,duration_seconds,duration_hours,frame_count,fps,width,height,size,size_bytes,aspect_ratio_fraction,aspect_ratio,accumulated_duration_seconds,accumulated_duration_hours,accumulated_frame_count,accumulated_size,accumulated_size_bytes
0,True,Want To Kick The Habit  Quit WindowsToday!-jschFelwsiI.webm,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/Want To Kick The Habit  Quit WindowsToday!-jschFelwsiI.webm,150.41693333333333,00:02:30,4508,29,1920,1080,29609643,28.2 MB,16:9,1.7777777777777777,150.41693333333333,00:02:30,4508,29609643,28.2 MB
1,True,What's The Best 'Linux'  It's GNU_Linux!-UcckLr4fQQs.webm,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/What's The Best 'Linux'  It's GNU_Linux!-UcckLr4fQQs.webm,482.6666666666667,00:08:02,28960,60,1920,1080,49929501,47.6 MB,16:9,1.7777777777777777,633.0836,00:10:33,33468,79539144,75.9 MB
2,True,Why I Choose Free And Open Source Software-cU6H2m9XuQY.webm,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/Why I Choose Free And Open Source Software-cU6H2m9XuQY.webm,278.23333333333335,00:04:38,16694,60,1920,1080,73434906,70.0 MB,16:9,1.7777777777777777,911.3169333333334,00:15:11,50162,152974050,145.9 MB
3,True,Why I'm Thankful This Holiday Season-6H1QKXbY9qk.webm,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/Why I'm Thankful This Holiday Season-6H1QKXbY9qk.webm,273.6734,00:04:33,8202,29,1920,1080,41903029,40.0 MB,16:9,1.7777777777777777,1184.9903333333334,00:19:44,58364,194877079,185.8 MB
4,True,Why Use Mac When Linux Exists-KEWJFP_kHeo.webm,/home/jolitp/Projects/automation_scripts/src/get_videos_info_csv/Why Use Mac When Linux Exists-KEWJFP_kHeo.webm,211.6114,00:03:31,6342,29,1920,1080,30516164,29.1 MB,16:9,1.7777777777777777,1396.6017333333334,00:23:16,64706,225393243,215.0 MB
